DATE,TIME,GAME ID,MATCH,3WAY,DOUBLE CHANCE,OV/UN 2.5,GG/NG
06/08/2024,19:00,62665,QARABAG FK vs PFC LUDOGORETS 1945,RAZGRAD,1.81,3.60,4.40,1.21,1.28,1.95,1.92,1.82,1.86,1.88
06/08/2024,20:00,24744,MALMO FF vs PAOK THESSALONIKI,2.34,3.30,3.05,1.36,1.32,1.59,1.77,1.98,1.63,2.20
06/08/2024,20:15,48252,FC MIDTJYLLAND vs FERENCVAROSI BUDAPEST,1.92,3.50,3.95,1.24,1.29,1.85,2.03,1.73,1.91,1.83
06/08/2024,21:00,56009,SPARTA PRAGUE vs FOTBAL CLUB FCSB,1.54,4.20,5.80,1.14,1.21,2.39,1.77,1.99,1.91,1.83
06/08/2024,21:00,35309,FC DYNAMO KYIV vs GLASGOW RANGERS,2.24,3.45,3.10,1.35,1.30,1.64,1.70,2.07,1.60,2.24
06/08/2024,21:30,92569,LILLE OSC vs FENERBAHCE ISTANBUL,2.19,3.30,3.30,1.32,1.32,1.66,1.98,1.77,1.80,1.94
06/08/2024,21:45,5071,FC SALZBURG vs FC TWENTE,1.80,3.75,4.20,1.22,1.26,1.97,1.68,2.11,1.67,2.13
06/08/2024,19:30,30107,FK PANEVEZYS vs MACCABI TEL AVIV FC,11.00,6.00,1.27,3.60,1.13,1.06,1.62,2.25,2.21,1.64
06/08/2024,20:00,77675,PETROCUB HINCESTI vs THE NEW SAINTS FC,1.69,3.95,4.90,1.19,1.25,2.15,1.93,1.85,1.95,1.83
06/08/2024,19:30,23403,BORUSSIA DORTMUND vs VILLARREAL,1.97,3.80,3.25,1.29,1.23,1.68,1.35,2.85,1.34,2.90
06/08/2024,19:00,6945,FC NOAH YEREVAN vs AEK ATHENS,7.00,4.90,1.38,2.65,1.16,1.11,1.58,2.23,1.84,1.87
06/08/2024,13:00,35793,GRAZER AK 1902 vs AL-AHLI SAUDI FC,3.35,3.50,2.02,1.64,1.27,1.28,1.56,2.23,1.50,2.37
07/08/2024,02:00,99995,CHELSEA vs REAL MADRID,2.80,4.00,2.17,1.62,1.24,1.40,1.40,2.70,1.39,2.75
07/08/2024,02:30,23251,BARCELONA vs AC MILAN,2.16,3.95,2.85,1.39,1.24,1.62,1.44,2.60,1.42,2.65
06/08/2024,12:30,11799,LAMBTON JAFFAS FC vs MELBOURNE VICTORY,15.00,8.80,1.11,4.00,1.04,1.02,1.17,4.20,1.69,2.00
06/08/2024,12:30,60213,FITZROY CITY vs MODBURY JETS SC,3.70,4.50,1.70,1.91,1.18,1.24,1.30,3.10,1.36,2.85
06/08/2024,12:30,92591,SOUTH MELBOURNE FC vs WELLINGTON PHOENIX FC,2.55,3.85,2.32,1.50,1.23,1.42,1.41,2.60,1.39,2.70
06/08/2024,13:30,29993,OLYMPIC KINGSWAY SC vs EDGEWORTH FC,2.10,3.95,2.85,1.36,1.22,1.60,1.34,2.95,1.33,2.95
06/08/2024,18:30,39091,FK ATMOSFERA vs FC HEGELMANN KAUNAS,8.80,5.60,1.27,-,-,-,-,-,-,-
06/08/2024,19:00,54739,MIDDELFART BK vs ODENSE BOLDKLUB,7.80,5.60,1.33,-,-,-,-,-,-,-
06/08/2024,19:15,12087,SEPAHAN SC vs SHABAB AL AHLI DUBAI,2.23,3.35,3.10,1.34,1.31,1.58,1.98,1.74,1.79,1.92
06/08/2024,19:30,98877,IF LYSENG vs VENDSYSSEL FF,6.80,5.00,1.41,-,-,-,-,-,-,-
06/08/2024,21:45,63878,MATLOCK vs MANSFIELD,6.60,5.20,1.36,2.55,1.13,1.10,1.43,2.55,1.67,2.04
06/08/2024,21:30,63833,LLANELLI TOWN vs CWMBRAN CELTIC,1.25,5.80,7.60,1.07,1.09,2.75,-,-,1.49,2.28
06/08/2024,21:30,28821,AMMANFORD vs LLANTWIT MA JOR,1.53,4.40,4.60,1.15,1.16,2.04,-,-,1.42,2.45
06/08/2024,21:45,95878,AIRBUS UK BROUGHTON vs LLANDUDNO FC,1.12,7.60,14.00,1.02,1.04,3.50,-,-,1.80,1.81
06/08/2024,22:15,87423,BREIDABLIK KOPAVOGUR vs FYLKIR REYKJAVIK,1.33,5.60,6.20,1.10,1.11,2.55,1.22,3.65,1.40,2.60
07/08/2024,03:00,83871,CEARA SC vs GUARANI,1.54,3.80,6.20,1.13,1.24,2.24,2.06,1.68,2.16,1.62
07/08/2024,00:30,61389,LIBERTAD ASUNCION vs SPORTIVO TRINIDENSE,1.40,4.50,7.00,1.10,1.17,2.43,1.74,1.94,1.99,1.70
06/08/2024,22:00,97093,RC RECREATIVO DE HUELVA vs CORDOBA CF,2.60,3.10,2.70,1.40,1.32,1.42,2.11,1.63,1.84,1.83
07/08/2024,00:45,37967,UCV FC vs INTER DE BARINAS,1.82,3.25,4.30,1.19,1.27,1.75,2.30,1.53,2.10,1.60
06/08/2024,17:00,10281,CSM RESITA vs FC U CRAIOVA 1948,2.46,3.20,2.65,1.37,1.28,1.41,1.97,1.69,1.75,1.86
06/08/2024,19:00,73112,CSA STEAUA BUCURESTI vs ACS CHAMPIONS FC ARGES,2.07,3.15,3.35,1.26,1.28,1.56,2.03,1.65,1.81,1.79
06/08/2024,11:00,15485,NEW ZEALAND vs CROATIA SRL,8.00,4.80,1.29,2.55,1.12,1.07,1.50,2.31,1.76,1.75
06/08/2024,11:00,48005,SENEGAL SRL vs MONTENEGRO SRL,1.50,3.80,5.60,1.12,1.19,2.07,1.87,1.77,1.90,1.63
06/08/2024,11:00,90739,VENEZUELA vs AZERBAIJAN SRL,1.39,4.00,7.00,1.08,1.17,2.28,1.82,1.82,1.97,1.58
06/08/2024,12:00,5839,UNITED ARAB EMIRATES SRL vs NORWAY SRL,3.70,4.50,1.62,1.90,1.16,1.21,1.31,2.95,1.35,2.50
06/08/2024,12:00,47439,COSTA RICA SRL vs ALBANIA SRL,1.95,2.95,3.85,1.21,1.30,1.62,2.80,1.35,2.29,1.42
06/08/2024,12:00,73156,GREECE SRL vs ZAMBIA SRL,1.38,4.60,6.00,1.10,1.14,2.31,1.46,2.40,1.60,1.93
06/08/2024,13:00,18451,IRAN SRL vs GEORGIA SRL,1.73,3.45,4.10,1.18,1.23,1.77,1.96,1.70,1.81,1.70
06/08/2024,13:00,41761,CAMEROON SRL vs ESTONIA SRL,1.77,3.20,4.30,1.17,1.26,1.74,2.38,1.47,2.11,1.50
06/08/2024,13:00,18449,PARAGUAY vs ISRAEL SRL,1.93,3.40,3.35,1.25,1.24,1.63,1.84,1.79,1.67,1.84
06/08/2024,13:00,55987,NEW LAMBTON FC vs NEWCASTLE OLYMPIC FC,4.80,4.30,1.51,2.06,1.16,1.15,1.58,2.14,1.67,1.95
06/08/2024,13:00,84364,SANTA CLARA U23 vs SL BENFICA,3.65,3.90,1.78,1.78,1.21,1.23,1.50,2.37,1.49,2.33
06/08/2024,14:00,70385,SYRIA SRL vs FAROE ISLANDS SRL,1.33,4.50,7.60,1.07,1.14,2.46,1.61,2.09,1.84,1.67
06/08/2024,14:00,97085,NIGERIA SRL vs BELGIUM SRL,4.70,4.00,1.54,2.00,1.18,1.15,1.61,2.09,1.63,1.90
06/08/2024,14:00,43461,COLOMBIA vs SERBIA SRL,2.05,3.40,3.05,1.29,1.24,1.56,1.71,1.94,1.56,2.00
06/08/2024,17:00,21034,KS HUTNIK KRAKOW SSA vs ZAGLEBIE LUBIN II,2.55,3.40,2.50,1.44,1.28,1.43,1.76,1.92,1.63,2.10
06/08/2024,18:00,30981,SPORTING BRAGA vs RIO AVE,1.56,4.00,5.00,1.15,1.19,2.05,1.68,2.03,1.74,1.91
06/08/2024,18:00,9797,POGON SIEDLCE vs LECH II POZNAN,1.34,4.80,7.80,1.08,1.14,2.60,1.61,2.13,1.92,1.75
06/08/2024,18:00,97282,MINYOR PERNIK vs MAREK DUPNICA,2.24,3.10,3.15,-,-,-,2.32,1.52,1.99,1.67
06/08/2024,18:00,23237,ESTORIL PRAIA vs CD MAFRA,1.39,4.80,6.20,1.10,1.14,2.40,1.45,2.50,1.63,2.05
06/08/2024,18:00,74827,LEIXOES SC vs GIL VICENTE FC,3.05,3.65,2.05,1.60,1.24,1.31,1.62,2.11,1.55,2.20
06/08/2024,19:00,59547,USA vs GERMANY,1.94,3.15,4.00,1.22,1.31,1.72,2.19,1.60,1.96,1.73
06/08/2024,19:00,47813,ODDER IGF vs VSK ARHUS,3.70,3.70,1.93,-,-,-,-,-,-,-
06/08/2024,19:00,94145,GOERSLEV IF vs SUNDBY,5.00,4.30,1.59,-,-,-,-,-,-,-
06/08/2024,19:00,38519,RINGSTED IF vs BRONSHOJ BK,5.60,4.60,1.50,-,-,-,-,-,-,-
06/08/2024,19:00,20411,GUTERSLOH WOMEN vs FC TWENTE ENSCHEDE,5.60,5.20,1.37,2.35,1.12,1.11,-,-,1.37,2.65
06/08/2024,20:00,67287,PODBESKIDZIE BIELSKO-BIA?A vs STOMIL OLSZTYN,-,4.20,5.80,-,-,2.20,1.69,2.01,1.81,1.86
06/08/2024,20:00,51449,PFC MONTANA 1921 vs FK CSKA 1948 II,1.63,3.55,5.20,1.14,1.23,1.95,2.09,1.64,2.05,1.63
06/08/2024,20:00,26940,HAPOEL HADERA FC vs MS ASHDOD,2.05,3.30,3.25,1.27,1.26,1.57,2.01,1.66,1.82,1.79
06/08/2024,20:00,92326,BEITAR JERUSALEM FC vs HAPOEL JERUSALEM FC,2.36,3.30,2.65,1.36,1.26,1.44,1.83,1.81,1.66,1.97
06/08/2024,20:20,68222,KS POLONIA BYTOM SA vs GKS JASTRZEBIE,1.78,3.60,4.10,1.21,1.25,1.82,1.94,1.74,1.87,1.80